Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
55304364,09/04/2022 01:53:59 AM,09/04/2022 02:28:50 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10028,536 EAST   82 STREET,EAST   82 STREET,YORK AVENUE,EAST END AVENUE,YORK AVENUE,EAST END AVENUE,ADDRESS,NEW YORK,EAST   82 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 02:29:23 AM,08 MANHATTAN,MANHATTAN,998738,220825,Unspecified,MANHATTAN,,,,,,,,40.77277808007252,-73.94769261830996,"(40.77277808007252, -73.94769261830996)"
55304363,09/04/2022 01:57:28 AM,09/04/2022 02:48:31 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10453,2151 MORRIS AVENUE,MORRIS AVENUE,EAST  181 STREET,CAMERON PLACE,EAST  181 STREET,CAMERON PLACE,ADDRESS,BRONX,MORRIS AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 02:48:35 AM,05 BRONX,BRONX,1010833,250814,Unspecified,BRONX,,,,,,,,40.85506135781904,-73.90390616136632,"(40.85506135781904, -73.90390616136632)"
55301569,09/04/2022 01:58:30 AM,09/04/2022 02:58:27 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11209,8618 3 AVENUE,3 AVENUE,86 STREET,87 STREET,86 STREET,87 STREET,ADDRESS,BROOKLYN,3 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 02:58:31 AM,10 BROOKLYN,BROOKLYN,975602,166348,Unspecified,BROOKLYN,,,,,,,,40.62325910124429,-74.03115273804737,"(40.62325910124429, -74.03115273804737)"
55306497,09/04/2022 01:59:57 AM,09/04/2022 02:03:04 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10456,968 SHERMAN AVENUE,SHERMAN AVENUE,MELANIE RODRIGUEZ PLACE,EAST  164 STREET,MELANIE RODRIGUEZ PLACE,EAST  164 STREET,ADDRESS,BRONX,SHERMAN AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 02:03:10 AM,04 BRONX,BRONX,1006630,241012,Unspecified,BRONX,,,,,,,,40.82816939528909,-73.91913212175908,"(40.82816939528909, -73.91913212175908)"
55308487,09/04/2022 02:00:31 AM,09/04/2022 02:53:28 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11368,105-21 53 AVENUE,53 AVENUE,103 STREET,106 STREET,103 STREET,106 STREET,ADDRESS,CORONA,53 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 02:53:31 AM,04 QUEENS,QUEENS,1024217,209684,Unspecified,QUEENS,,,,,,,,40.74212044149051,-73.85576974288317,"(40.74212044149051, -73.85576974288317)"
55305066,09/04/2022 02:01:17 AM,09/04/2022 02:08:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10010,209 EAST   22 STREET,EAST   22 STREET,CHILDRENS COURT WAY,2 AVENUE,CHILDRENS COURT WAY,2 AVENUE,ADDRESS,NEW YORK,EAST   22 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 02:08:42 AM,06 MANHATTAN,MANHATTAN,988916,208142,Unspecified,MANHATTAN,,,,,,,,40.73797711476443,-73.98316270345912,"(40.73797711476443, -73.98316270345912)"
55304529,09/04/2022 02:01:28 AM,09/04/2022 03:04:55 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11207,63 ARLINGTON AVENUE,ARLINGTON AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,ADDRESS,BROOKLYN,ARLINGTON AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/04/2022 03:04:59 AM,05 BROOKLYN,BROOKLYN,1014071,186926,Unspecified,BROOKLYN,,,,,,,,40.679695220791544,-73.89248471311748,"(40.679695220791544, -73.89248471311748)"
55308324,09/04/2022 02:06:10 AM,09/04/2022 03:14:57 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10458,2600 DECATUR AVENUE,DECATUR AVENUE,EAST  193 STREET,EAST  194 STREET,EAST  193 STREET,EAST  194 STREET,ADDRESS,BRONX,DECATUR AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 03:15:03 AM,07 BRONX,BRONX,1014518,253721,Unspecified,BRONX,,,,,,,,40.863028329547674,-73.89057228592851,"(40.863028329547674, -73.89057228592851)"
55302583,09/04/2022 02:14:32 AM,09/04/2022 04:33:30 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10463,130 WEST  228 STREET,WEST  228 STREET,MARBLE HILL LANE,MARBLE HILL AVENUE,MARBLE HILL LANE,MARBLE HILL AVENUE,ADDRESS,BRONX,WEST  228 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 04:33:36 AM,08 BRONX,BRONX,1009554,258607,Unspecified,BRONX,,,,,,,,40.876454524183956,-73.90850013893893,"(40.876454524183956, -73.90850013893893)"
55308491,09/04/2022 02:17:50 AM,09/04/2022 02:53:31 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11368,105-21 53 AVENUE,53 AVENUE,103 STREET,106 STREET,103 STREET,106 STREET,ADDRESS,CORONA,53 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 02:53:34 AM,04 QUEENS,QUEENS,1024217,209684,Unspecified,QUEENS,,,,,,,,40.74212044149051,-73.85576974288317,"(40.74212044149051, -73.85576974288317)"
55304527,09/04/2022 02:19:39 AM,09/04/2022 03:22:20 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11355,134-48 MAPLE AVENUE,MAPLE AVENUE,EAGLE NEST LANE,MAIN STREET,EAGLE NEST LANE,MAIN STREET,ADDRESS,FLUSHING,MAPLE AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 03:22:25 AM,07 QUEENS,QUEENS,1031440,214341,Unspecified,QUEENS,,,,,,,,40.75486711766654,-73.82967124231288,"(40.75486711766654, -73.82967124231288)"
55301396,09/04/2022 02:21:31 AM,09/04/2022 03:07:29 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11204,1335 WEST    7 STREET,WEST    7 STREET,BAY PARKWAY,AVENUE O,BAY PARKWAY,AVENUE O,ADDRESS,BROOKLYN,WEST    7 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 03:07:34 AM,11 BROOKLYN,BROOKLYN,989363,162513,Unspecified,BROOKLYN,,,,,,,,40.61273556804892,-73.98158431573702,"(40.61273556804892, -73.98158431573702)"
55307480,09/04/2022 02:22:13 AM,09/04/2022 03:52:18 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11372,37-65 93 STREET,93 STREET,ELMHURST AVENUE,FLUSHING LINE,ELMHURST AVENUE,FLUSHING LINE,ADDRESS,JACKSON HEIGHTS,93 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 03:52:22 AM,03 QUEENS,QUEENS,1019210,212348,Unspecified,QUEENS,,,,,,,,40.74945365672029,-73.87382479787311,"(40.74945365672029, -73.87382479787311)"
55301573,09/04/2022 02:22:46 AM,09/04/2022 02:51:40 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11377,40-51 72 STREET,72 STREET,FLUSHING LINE,41 AVENUE,FLUSHING LINE,41 AVENUE,ADDRESS,WOODSIDE,72 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 02:51:46 AM,04 QUEENS,QUEENS,1013787,211007,Unspecified,QUEENS,,,,,,,,40.745792728710896,-73.89340298105401,"(40.745792728710896, -73.89340298105401)"
55308320,09/04/2022 02:23:34 AM,09/04/2022 03:03:11 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11385,77-02 85 STREET,85 STREET,77 AVENUE,78 AVENUE,77 AVENUE,78 AVENUE,ADDRESS,RIDGEWOOD,85 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 03:03:17 AM,05 QUEENS,QUEENS,1021885,196712,Unspecified,QUEENS,,,,,,,,40.70652572183333,-73.8642578371981,"(40.70652572183333, -73.8642578371981)"
55308498,09/04/2022 02:24:38 AM,09/04/2022 02:53:53 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10456,968 SHERMAN AVENUE,SHERMAN AVENUE,MELANIE RODRIGUEZ PLACE,EAST  164 STREET,MELANIE RODRIGUEZ PLACE,EAST  164 STREET,ADDRESS,BRONX,SHERMAN AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 02:53:56 AM,04 BRONX,BRONX,1006630,241012,Unspecified,BRONX,,,,,,,,40.82816939528909,-73.91913212175908,"(40.82816939528909, -73.91913212175908)"
55306496,09/04/2022 02:28:13 AM,09/04/2022 03:43:49 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11365,67-36 181 STREET,181 STREET,67 AVENUE,69 AVENUE,67 AVENUE,69 AVENUE,ADDRESS,FRESH MEADOWS,181 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,09/04/2022 03:43:55 AM,08 QUEENS,QUEENS,1042234,206999,Unspecified,QUEENS,,,,,,,,40.7346510263316,-73.79077454105087,"(40.7346510263316, -73.79077454105087)"
55302422,09/04/2022 02:46:27 AM,09/04/2022 03:31:16 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11354,146-14 35 AVENUE,35 AVENUE,146 STREET,147 STREET,146 STREET,147 STREET,ADDRESS,FLUSHING,35 AVENUE,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,09/04/2022 03:31:24 AM,07 QUEENS,QUEENS,1033945,218471,Unspecified,QUEENS,,,,,,,,40.766189160398234,-73.82059912812147,"(40.766189160398234, -73.82059912812147)"
55304523,09/04/2022 02:53:49 AM,09/04/2022 03:03:47 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10027,73 WEST  126 STREET,WEST  126 STREET,5 AVENUE,SYLVIA P WOODS WAY,5 AVENUE,SYLVIA P WOODS WAY,ADDRESS,NEW YORK,WEST  126 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 03:03:52 AM,10 MANHATTAN,MANHATTAN,999793,233650,Unspecified,MANHATTAN,,,,,,,,40.807977456551,-73.94385397572589,"(40.807977456551, -73.94385397572589)"
55306308,09/04/2022 03:01:37 AM,09/04/2022 03:18:48 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11415,84-61 129 STREET,129 STREET,KEW GARDENS ROAD,METROPOLITAN AVENUE,KEW GARDENS ROAD,METROPOLITAN AVENUE,ADDRESS,KEW GARDENS,129 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 03:18:55 AM,09 QUEENS,QUEENS,1033068,196665,Unspecified,QUEENS,,,,,,,,40.70634208638101,-73.8239233570052,"(40.70634208638101, -73.8239233570052)"
55308496,09/04/2022 03:10:36 AM,09/04/2022 03:48:40 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10019,370 WEST   51 STREET,WEST   51 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   51 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 03:48:45 AM,04 MANHATTAN,MANHATTAN,987597,217572,Unspecified,MANHATTAN,,,,,,,,40.76386067901942,-73.98791763138829,"(40.76386067901942, -73.98791763138829)"
55304530,09/04/2022 03:22:44 AM,09/04/2022 03:48:47 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11219,1550 BAY RIDGE AVENUE,BAY RIDGE AVENUE,NEW UTRECHT AVENUE,16 AVENUE,NEW UTRECHT AVENUE,16 AVENUE,ADDRESS,BROOKLYN,BAY RIDGE AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 03:48:52 AM,11 BROOKLYN,BROOKLYN,984738,165261,Unspecified,BROOKLYN,,,,,,,,40.62027972049253,-73.99824215341538,"(40.62027972049253, -73.99824215341538)"
55308495,09/04/2022 03:23:41 AM,09/04/2022 03:40:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11101,41-07 12 STREET,12 STREET,NINA ADAMS WAY,PRODIGY WAY,NINA ADAMS WAY,PRODIGY WAY,ADDRESS,LONG ISLAND CITY,12 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/04/2022 03:40:45 AM,01 QUEENS,QUEENS,999736,214242,Unspecified,QUEENS,,,,,,,,40.75470775395675,-73.94410461224979,"(40.75470775395675, -73.94410461224979)"
55302584,09/04/2022 03:25:41 AM,09/04/2022 03:36:49 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10456,968 SHERMAN AVENUE,SHERMAN AVENUE,MELANIE RODRIGUEZ PLACE,EAST  164 STREET,MELANIE RODRIGUEZ PLACE,EAST  164 STREET,ADDRESS,BRONX,SHERMAN AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 03:36:55 AM,04 BRONX,BRONX,1006630,241012,Unspecified,BRONX,,,,,,,,40.82816939528909,-73.91913212175908,"(40.82816939528909, -73.91913212175908)"
55308490,09/04/2022 03:26:31 AM,09/04/2022 07:06:47 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11436,114-26 149 STREET,149 STREET,LINDEN BOULEVARD,115 AVENUE,LINDEN BOULEVARD,115 AVENUE,ADDRESS,JAMAICA,149 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 07:06:52 AM,12 QUEENS,QUEENS,1041297,189096,Unspecified,QUEENS,,,,,,,,40.685517769353574,-73.79430722564138,"(40.685517769353574, -73.79430722564138)"
55302421,09/04/2022 03:26:53 AM,09/04/2022 03:42:39 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11220,4611 6 AVENUE,6 AVENUE,46 STREET,47 STREET,46 STREET,47 STREET,ADDRESS,BROOKLYN,6 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 03:42:45 AM,07 BROOKLYN,BROOKLYN,982612,174591,Unspecified,BROOKLYN,,,,,,,,40.645888454527324,-74.00590257752685,"(40.645888454527324, -74.00590257752685)"
55308497,09/04/2022 03:36:25 AM,09/04/2022 03:58:35 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10040,ARDEN STREET,ARDEN STREET,ARDEN STREET,BROADWAY,ARDEN STREET,BROADWAY,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/04/2022 03:58:40 AM,12 MANHATTAN,MANHATTAN,1003919,254306,Unspecified,MANHATTAN,,,,,,,,40.864663955183104,-73.92888904710935,"(40.864663955183104, -73.92888904710935)"
55304368,09/04/2022 03:38:35 AM,09/04/2022 03:41:50 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11220,4611 6 AVENUE,6 AVENUE,46 STREET,47 STREET,46 STREET,47 STREET,ADDRESS,BROOKLYN,6 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 03:41:56 AM,07 BROOKLYN,BROOKLYN,982612,174591,Unspecified,BROOKLYN,,,,,,,,40.645888454527324,-74.00590257752685,"(40.645888454527324, -74.00590257752685)"
55304531,09/04/2022 03:40:20 AM,09/04/2022 04:24:51 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11422,140 AVENUE,140 AVENUE,140 AVENUE,SOUTH CONDUIT AVENUE,140 AVENUE,SOUTH CONDUIT AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 04:24:55 AM,13 QUEENS,QUEENS,1057190,181753,Unspecified,QUEENS,,,,,,,,40.6652462775108,-73.7370820535239,"(40.6652462775108, -73.7370820535239)"
55307481,09/04/2022 03:53:31 AM,09/04/2022 05:25:46 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10002,127 RIVINGTON STREET,RIVINGTON STREET,ESSEX STREET,NORFOLK STREET,ESSEX STREET,NORFOLK STREET,ADDRESS,NEW YORK,RIVINGTON STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 05:25:51 AM,03 MANHATTAN,MANHATTAN,987858,201467,Unspecified,MANHATTAN,,,,,,,,40.719656364739265,-73.98698408346641,"(40.719656364739265, -73.98698408346641)"
55304367,09/04/2022 03:53:40 AM,09/04/2022 03:55:57 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11220,4611 6 AVENUE,6 AVENUE,46 STREET,47 STREET,46 STREET,47 STREET,ADDRESS,BROOKLYN,6 AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/04/2022 03:56:02 AM,07 BROOKLYN,BROOKLYN,982612,174591,Unspecified,BROOKLYN,,,,,,,,40.645888454527324,-74.00590257752685,"(40.645888454527324, -74.00590257752685)"
55305065,09/04/2022 03:58:11 AM,09/04/2022 04:36:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11237,44 WILSON AVENUE,WILSON AVENUE,GEORGE STREET,MELROSE STREET,GEORGE STREET,MELROSE STREET,ADDRESS,BROOKLYN,WILSON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 04:36:18 AM,04 BROOKLYN,BROOKLYN,1003829,195325,Unspecified,BROOKLYN,,,,,,,,40.70277711007218,-73.92938632693719,"(40.70277711007218, -73.92938632693719)"
55301571,09/04/2022 04:07:06 AM,09/04/2022 05:15:05 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11233,865 HANCOCK STREET,HANCOCK STREET,RALPH AVENUE,HOWARD AVENUE,RALPH AVENUE,HOWARD AVENUE,ADDRESS,BROOKLYN,HANCOCK STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 05:15:09 AM,03 BROOKLYN,BROOKLYN,1006188,189175,Unspecified,BROOKLYN,,,,,,,,40.68589125793104,-73.92089838510533,"(40.68589125793104, -73.92089838510533)"
55305507,09/04/2022 04:10:16 AM,09/04/2022 04:36:41 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10463,525 WEST  235 STREET,WEST  235 STREET,CAMBRIDGE AVENUE,OXFORD AVENUE,CAMBRIDGE AVENUE,OXFORD AVENUE,ADDRESS,BRONX,WEST  235 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 04:36:48 AM,08 BRONX,BRONX,1009578,261857,Unspecified,BRONX,,,,,,,,40.88537468961376,-73.90840106549352,"(40.88537468961376, -73.90840106549352)"
55303569,09/04/2022 04:26:22 AM,09/04/2022 04:58:22 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10030,2394 7 AVENUE,7 AVENUE,WEST  139 STREET,WEST  140 STREET,WEST  139 STREET,WEST  140 STREET,ADDRESS,NEW YORK,7 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 04:58:26 AM,10 MANHATTAN,MANHATTAN,1000439,237420,Unspecified,MANHATTAN,,,,,,,,40.818323892860526,-73.94151133572831,"(40.818323892860526, -73.94151133572831)"
55308486,09/04/2022 04:32:39 AM,09/04/2022 05:05:28 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10456,968 SHERMAN AVENUE,SHERMAN AVENUE,MELANIE RODRIGUEZ PLACE,EAST  164 STREET,MELANIE RODRIGUEZ PLACE,EAST  164 STREET,ADDRESS,BRONX,SHERMAN AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 05:05:34 AM,04 BRONX,BRONX,1006630,241012,Unspecified,BRONX,,,,,,,,40.82816939528909,-73.91913212175908,"(40.82816939528909, -73.91913212175908)"
55301400,09/04/2022 04:33:59 AM,09/04/2022 04:47:08 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11220,4611 6 AVENUE,6 AVENUE,46 STREET,47 STREET,46 STREET,47 STREET,ADDRESS,BROOKLYN,6 AVENUE,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,09/04/2022 04:47:13 AM,07 BROOKLYN,BROOKLYN,982612,174591,Unspecified,BROOKLYN,,,,,,,,40.645888454527324,-74.00590257752685,"(40.645888454527324, -74.00590257752685)"
55304526,09/04/2022 04:45:44 AM,09/04/2022 04:58:50 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 04:58:57 AM,10 MANHATTAN,MANHATTAN,1000482,237497,Unspecified,MANHATTAN,,,,,,,,40.81853515725049,-73.94135579635707,"(40.81853515725049, -73.94135579635707)"
55303397,09/04/2022 05:01:54 AM,09/04/2022 06:16:27 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11365,61-34 165 STREET,165 STREET,HORACE HARDING EXPRESSWAY,65 AVENUE,HORACE HARDING EXPRESSWAY,65 AVENUE,ADDRESS,FRESH MEADOWS,165 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 06:16:34 AM,08 QUEENS,QUEENS,1038661,208172,Unspecified,QUEENS,,,,,,,,40.73789331577307,-73.80365757579477,"(40.73789331577307, -73.80365757579477)"
55306312,09/04/2022 05:04:39 AM,09/04/2022 06:16:03 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11365,71-59 160 STREET,160 STREET,PARK AVENUE,72 AVENUE,PARK AVENUE,72 AVENUE,ADDRESS,FRESH MEADOWS,160 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 06:16:09 AM,08 QUEENS,QUEENS,1037181,204743,Unspecified,QUEENS,,,,,,,,40.72849055741548,-73.80902512378668,"(40.72849055741548, -73.80902512378668)"
55306495,09/04/2022 05:11:28 AM,09/04/2022 05:46:54 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11223,260 KINGS HIGHWAY,KINGS HIGHWAY,WEST    8 STREET,SEA BEACH LINE,WEST    8 STREET,SEA BEACH LINE,ADDRESS,BROOKLYN,KINGS HIGHWAY,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,09/04/2022 05:47:00 AM,11 BROOKLYN,BROOKLYN,989503,159792,Unspecified,BROOKLYN,,,,,,,,40.60526689935276,-73.98108218900468,"(40.60526689935276, -73.98108218900468)"
55302580,09/04/2022 05:13:26 AM,09/04/2022 05:47:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11223,260 KINGS HIGHWAY,KINGS HIGHWAY,WEST    8 STREET,SEA BEACH LINE,WEST    8 STREET,SEA BEACH LINE,ADDRESS,BROOKLYN,KINGS HIGHWAY,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,09/04/2022 05:47:08 AM,11 BROOKLYN,BROOKLYN,989503,159792,Unspecified,BROOKLYN,,,,,,,,40.60526689935276,-73.98108218900468,"(40.60526689935276, -73.98108218900468)"
55306315,09/04/2022 05:25:08 AM,09/04/2022 07:16:42 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11385,61-30 WOODBINE STREET,WOODBINE STREET,MAUREEN WALTHERS WAY,64 STREET,MAUREEN WALTHERS WAY,64 STREET,ADDRESS,RIDGEWOOD,WOODBINE STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2022 07:16:45 AM,05 QUEENS,QUEENS,1012739,197176,Unspecified,QUEENS,,,,,,,,40.70783346549878,-73.89724369119668,"(40.70783346549878, -73.89724369119668)"
55306499,09/04/2022 05:34:19 AM,09/04/2022 06:03:40 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11377,40-51 72 STREET,72 STREET,FLUSHING LINE,41 AVENUE,FLUSHING LINE,41 AVENUE,ADDRESS,WOODSIDE,72 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 06:03:46 AM,04 QUEENS,QUEENS,1013787,211007,Unspecified,QUEENS,,,,,,,,40.745792728710896,-73.89340298105401,"(40.745792728710896, -73.89340298105401)"
55307325,09/04/2022 05:55:26 AM,09/04/2022 05:57:04 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10003,310 EAST   14 STREET,EAST   14 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   14 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/04/2022 05:57:10 AM,03 MANHATTAN,MANHATTAN,988562,206012,Unspecified,MANHATTAN,,,,,,,,40.73213096963976,-73.98444148029249,"(40.73213096963976, -73.98444148029249)"
55308488,09/04/2022 06:07:33 AM,09/04/2022 07:06:29 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2022 07:06:35 AM,10 MANHATTAN,MANHATTAN,1000482,237497,Unspecified,MANHATTAN,,,,,,,,40.81853515725049,-73.94135579635707,"(40.81853515725049, -73.94135579635707)"
